f,s11
3610000000.0,(-0.5591110516128727+0.06624528737686165j)
3625000000.0,(-0.5585860840114422+0.06288776259341329j)
3640000000.0,(-0.5581761122958852+0.05951564693982256j)
3655000000.0,(-0.5578819306446422+0.05613368938585542j)
3670000000.0,(-0.557704103524871+0.052746681029574104j)
3685000000.0,(-0.5576429637476036+0.049359442968112274j)
3700000000.0,(-0.5576986111920403+0.04597681409202322j)
3715000000.0,(-0.5578709122013441+0.042603638841341905j)
3730000000.0,(-0.5581594996500057+0.03924475496153009j)
3745000000.0,(-0.5585637736805968+0.03590498129736024j)
3760000000.0,(-0.5590829031054568+0.03258910566253205j)
3775000000.0,(-0.5597158274666306+0.029301872822414414j)
3790000000.0,(-0.5604612597451883+0.026047972626754703j)
3805000000.0,(-0.5613176897088837+0.0228320283285147j)
3820000000.0,(-0.5622833878850325+0.019658585124174396j)
3835000000.0,(-0.563356410143437+0.016532098949892087j)
3850000000.0,(-0.5645346028722392+0.013456925566837277j)
3865000000.0,(-0.565815608727685+0.010437309967818467j)
3880000000.0,(-0.5671968729370069+0.007477376136024668j)
3895000000.0,(-0.5686756501319197+0.0045811171852893455j)
3910000000.0,(-0.5702490116886438+0.0017523859097764941j)
3925000000.0,(-0.5719138535488674-0.0010051142306014597j)
3940000000.0,(-0.573666904494701-0.0036878376644059j)
3955000000.0,(-0.5755047348494123-0.006292404779649514j)
3970000000.0,(-0.5774237655745939-0.008815609490456877j)
3985000000.0,(-0.5794202777334122-0.011254426280196976j)
4000000000.0,(-0.5814904222886927-0.01360601670378485j)
