f,s11,s21,ZL,ZL_a
9075000000.0,(-0.7896687849455434+0.004675799666064037j),0j,(44.272453750479876+1.099938276646322j),376.7304419398245
9160000000.0,(-0.7902212668514913+0.005262185608506312j),0j,(44.1417638651121+1.2371139215729816j),376.73043956646825
9245000000.0,(-0.7907532687136679+0.005871652105887086j),0j,(44.01584158674883+1.3795735109835223j),376.73043725827387
9330000000.0,(-0.7912643176795668+0.006503539131407713j),0j,(43.894779605155584+1.5271629741772699j),376.7304350128773
9415000000.0,(-0.7917539504379638+0.007157200597638378j),0j,(43.778668484037055+1.6797328620301888j),376.73043282802115
9500000000.0,(-0.7922217114412378+0.007832003805610624j),0j,(43.667597131679585+1.8371381915763663j),376.73043070154847
9585000000.0,(-0.7926671511740994+0.008527328840531792j),0j,(43.56165325736194+1.999238279671639j),376.73042863139733
9670000000.0,(-0.7930898244647309+0.009242567915461469j),0j,(43.46092381493577+2.16589656628219j),376.73042661559646
9755000000.0,(-0.7934892888343573+0.009977124663776699j),0j,(43.36549543496661+2.3369804277884993j),376.7304246522594
9840000000.0,(-0.793865102881305+0.010730413380736476j),0j,(43.27545484681847+2.5123609805454032j),376.73042273958157
9925000000.0,(-0.7942168246956347+0.011501858213955468j),0j,(43.190889292053555+2.69191287479359j),376.7304208758349
10010000000.0,(-0.7945440103004908+0.012290892302079713j),0j,(43.11188693050845+2.8755140788741453j),376.7304190593644
10095000000.0,(-0.7948462121163475+0.013096956860451698j),0j,(43.03853724039759+3.0630456535551973j),376.73041728858465
10180000000.0,(-0.7951229774444041+0.013919500212024663j),0j,(42.970931413783916+3.2543915161361476j),376.73041556197586
10265000000.0,(-0.7953738469654362+0.014757976761257206j),0j,(42.90916274874852+3.449438193850326j),376.7304138780812
10350000000.0,(-0.7955983532504873+0.015611845908167655j),0j,(42.85332703958008+3.648074565939189j),376.7304122355032
10435000000.0,(-0.7957960192798675+0.016480570899159188j),0j,(42.80352296629924+3.85019159361842j),376.7304106329013
10520000000.0,(-0.7959663569670042+0.01736361761063171j),0j,(42.75985248482391+4.055682036998258j),376.7304090689884
10605000000.0,(-0.7961088656838136+0.01826045326077173j),0j,(42.72242121907544+4.264440157854062j),376.7304075425295
10690000000.0,(-0.7962230307843491+0.019170545044253483j),0j,(42.69133885631977+4.476361406968368j),376.7304060523378
10775000000.0,(-0.7963083221236357+0.020093358683881603j),0j,(42.66671954702993+4.691342094578284j),376.73040459727355
10860000000.0,(-0.7963641925687388+0.021028356892462085j),0j,(42.64868231055071+4.909279042263691j),376.7304031762414
10945000000.0,(-0.7963900764992855+0.021974997737385017j),(-0+0j),(42.637351447837354+5.130069214395144j),376.73040178818803
11030000000.0,(-0.7963853882948725+0.022932732899546327j),(-0+0j),(42.632856962529964+5.353609327029421j),376.7304004321011
11115000000.0,(-0.7963495208070117+0.023901005817303315j),(-0+0j),(42.63533499161314+5.579795431885561j),376.7303991070063
11200000000.0,(-0.796281843813553+0.02487924970516141j),(-0+0j),(42.64492824689132+5.808522472760011j),376.73039781196644
11285000000.0,(-0.7961817024538386+0.025866885435798095j),(-0+0j),(42.66178646848937+6.039683811435512j),376.7303965460795
11370000000.0,(-0.7960484156432286+0.026863319272848442j),(-0+0j),(42.68606689155454+6.273170719806531j),376.7303953084769
11455000000.0,(-0.7958812744660837+0.02786794044059658j),(-0+0j),(42.717934727297475+6.508871834579007j),376.7303940983222
11540000000.0,(-0.7956795405468171+0.028880118515310752j),(-0+0j),(42.75756365945533+6.746672570497247j),376.73039291480984
11625000000.0,(-0.795442444399255+0.02989920062143883j),(-0-0j),(42.80513635719127+6.986454487606514j),376.7303917571634
11710000000.0,(-0.7951691837552793+0.03092450841421227j),(-0-0j),(42.86084500535573+7.22809460756554j),376.7303906246345
11795000000.0,(-0.7948589218745981+0.03195533482838919j),(-0-0j),(42.92489185292147+7.471464673477398j),376.7303895165019
11880000000.0,(-0.7945107858385054+0.03299094057088113j),(-0-0j),(42.99748978026145+7.716430347101402j),376.7303884320697
11965000000.0,(-0.7941238648317112+0.034030550332842094j),(-0-0j),(43.078862885757964+7.96285033663718j),376.73038737066685
12050000000.0,(-0.793697208417739+0.03507334869443142j),(-0-0j),(43.16924709200733+8.210575447526628j),376.730386331646
12135000000.0,(-0.7932298248150652+0.03611847569288022j),(-0-0j),(43.26889077160588+8.459447547892243j),376.7303853143822
12220000000.0,(-0.7927206791831481+0.03716502202168505j),(-0-0j),(43.37805539215733+8.709298439312956j),376.7303843182721
12305000000.0,(-0.7921686919298151+0.03821202382568598j),(-0-0j),(43.49701617971957+8.959948622619336j),376.7303833427333
12390000000.0,(-0.7915727370541971+0.03925845705346579j),(-0-0j),(43.626062799388826+9.21120594726161j),376.73038238720335
12475000000.0,(-0.790931640542605+0.04030323132489624j),(-0-0j),(43.765500051085596+9.462864131550951j),376.7303814511385
12560000000.0,(-0.7902441788384915+0.04134518326776188j),(-0-0j),(43.91564857783589+9.714701139690032j),376.73038053401393
12645000000.0,(-0.7895090774120488+0.04238306927317423j),(-0-0j),(44.076845582903694+9.966477399974439j),376.73037963532187
12730000000.0,(-0.7887250094601467+0.043415557614971095j),(-0-0j),(44.249445550996995+10.21793384685498j),376.7303787545717
12815000000.0,(-0.7878905947733581+0.044441219873449705j),(-0-0j),(44.433820967398354+10.468789767685358j),376.73037789128904
12900000000.0,(-0.7870043988138806+0.045458521598622965j),(-0-0j),(44.630363027216404+10.7187404329273j),376.73037704501496
12985000000.0,(-0.7860649320564264+0.0464658121427435j),(-0-0j),(44.839482324964564+10.96745448633907j),376.73037621530557
13070000000.0,(-0.7850706496538002+0.04746131358610119j),(-0-0j),(45.061609512276114+11.21457106921245j),376.73037540173146
13155000000.0,(-0.7840199515001499+0.048443108674171245j),(-0-0j),(45.29719590869361+11.459696650054651j),376.7303746038769
13240000000.0,(-0.7829111827780064+0.04940912767808335j),(-0-0j),(45.54671404702118+11.702401528217298j),376.7303738213395
13325000000.0,(-0.7817426350905357+0.0503571340842435j),(-0-0j),(45.8106581306053+11.94221597686741j),376.7303730537295
13410000000.0,(-0.7805125482982354+0.05128470901289616j),(-0-0j),(46.089544374974984+12.178625987383581j),376.73037230067007
13495000000.0,(-0.779219113200006+0.05218923425964558j),(-0-0j),(46.3839112003844+12.411068573764256j),376.73037156179544
13580000000.0,(-0.777860475222567+0.05306787384875266j),-0j,(46.6943192347765+12.6389265920038j),376.7303708367515
13665000000.0,(-0.7764347393100359+0.05391755398269175j),-0j,(47.02135107832464+12.861523025677442j),376.7303701251955
13750000000.0,(-0.7749399762377305+0.054734941269462864j),-0j,(47.36561077076589+13.078114685282024j),376.7303694267947
13835000000.0,(-0.773374230611455+0.05551641910807016j),-0j,(47.72772289094178+13.28788526533297j),376.73036874122704
13920000000.0,(-0.771735530856432+0.05625806211413428j),-0j,(48.108331203980406+13.489937700006495j),376.7303680681797
14005000000.0,(-0.7700219015492749+0.0569556084727444j),-0j,(48.50809675503013+13.683285755495172j),376.73036740735
14090000000.0,(-0.7682313785028296+0.05760443011556089j),-0j,(48.92769528896834+13.86684479555852j),376.73036675844384
14175000000.0,(-0.7663620270780555+0.058199500635333426j),0j,(49.367813852593436+14.0394216564541j),376.730366121176
14260000000.0,(-0.7644119642702218+0.0587353608752724j),0j,(49.82914640895736+14.199703569136409j),376.73036549526995
14345000000.0,(-0.7623793851992574+0.05920608216539837j),0j,(50.31238826214865+14.346246071098054j),376.73036488045716
14430000000.0,(-0.7602625947267535+0.0596052272259672j),0j,(50.81822905442748+14.477459858531576j),376.73036427647696
14515000000.0,(-0.7580600450253051+0.059925808822779036j),0j,(51.3473440555521+14.59159654292086j),376.7303636830765
14600000000.0,(-0.7557703800396159+0.06016024634492324j),0j,(51.900383415900734+14.68673329642553j),376.73036310001
14685000000.0,(-0.7533924879026579+0.060300320587372565j),0j,(52.47795900014252+14.760756399621336j),376.73036252703895
14770000000.0,(-0.7509255625029498+0.06033712716495752j),0j,(53.08062835651497+14.81134374598372j),376.7303619639315
14855000000.0,(-0.7483691755383391+0.06026102916785704j),0j,(53.70887530832711+14.835946413270735j),376.7303614104627
14940000000.0,(-0.7457233605337285+0.060061609900284925j),0j,(54.36308657974758+14.83176948675544j),376.73036086641383
15025000000.0,(-0.7429887104390966+0.05972762683316431j),0j,(55.04352378866132+14.79575241800761j),376.7303603315722
15110000000.0,(-0.7401664905512144+0.059246968259154945j),0j,(55.750290057948305+14.724549331515828j),376.7303598057312
15195000000.0,(-0.737258768605384+0.05860661457622911j),0j,(56.4832904171353+14.614509856728171j),376.7303592886901
15280000000.0,(-0.7342685639454472+0.057792606656460806j),0j,(57.24218509539129+14.461661272837185j),376.73035878025377
15365000000.0,(-0.7312000176782666+0.056790024392028224j),0j,(58.026334753761816+14.261693016333197j),376.73035828023205
15450000000.0,(-0.7280585856229106+0.05558297926138087j),0j,(58.83473668276582+14.009944925708353j),376.73035778844036
15535000000.0,(-0.7248512556357466+0.05415462563270691j),0j,(59.66595101963948+13.701400991872362j),376.73035730469917
15620000000.0,(-0.7215867904816043+0.05248719652092551j),0j,(60.518016142547474+13.330690853049413j),376.7303568288336
15705000000.0,(-0.7182759967672427+0.050562070630461406j),0j,(61.38835260972053+12.89210182133991j),376.7303563606737
15790000000.0,(-0.7149320194837477+0.0483598787263972j),0j,(62.27365537120777+12.379604849801064j),376.73035590005395
15875000000.0,(-0.7115706603348756+0.045860658637327925j),0j,(63.16977454054944+11.786898527414252j),376.73035544681335
15960000000.0,(-0.7082107161649959+0.043044069430959j),0j,(64.071585832718+11.107475890993387j),376.7303550007951
16045000000.0,(-0.7048743313460369+0.03988967640553431j),0j,(64.97285291864958+10.334719509661857j),376.73035456184647
16130000000.0,(-0.7015873548465282+0.03637731934403458j),0j,(65.86608548120824+9.462030837503027j),376.7303541298189
